id,type,titre,titre_original,annee,note,genre,pays,realisateur,duree,nb_saisons,nb_episodes,statut,description
1,FILM,Thank You,Dhank You,2011,8.4,ROMANCE,India,Anees Bazmee,131,,,,Three cheating husbands end up paying the price for their infidelities when their spouses hire a private detective – who falls for one of the wives.
2,FILM,My Week with Marilyn,My Week with Marilyn,2011,7.5,ROMANCE,United Kingdom,Simon Curtis,99,,,,"While filming a movie in England, Hollywood icon Marilyn Monroe slips away with a young Brit for a week of self-discovery and frivolity."
3,SERIE,The Casketeers,The Casketeers,2019,9.7,DRAME,New Zealand,Non specifie,,2,32,TERMINEE,Māori funeral directors Francis and Kaiora Tipene and staff temper good humor with care and respect as they help Polynesian families cope with loss.
4,FILM,Super Bheem Bana Vajraveer,Supar Bheem Bana Vajravear,2018,7.2,DRAME,India,Sumit Das,63,,,,"Hoping to find a magical root, a monster has captured farmers in the land of Vyom. It’s up to Bheem and the gang to foil his plan and save the kingdom!"
5,FILM,Homefront,Homefront,2013,7.9,ACTION,United States,Gary Fleder,100,,,,"When an ex-DEA agent is widowed, he moves with his young daughter to a small town, but his quiet life is shattered by a meth-making drug trafficker."
6,SERIE,Chappelle's Show,Chappelle's Show,2005,6.4,COMEDIE,United States,Non specifie,,2,46,TERMINEE,"The brilliant Dave Chappelle performs blistering stand-up, impressions and sketches that skewer topics like racism, politics, celebrities and sex."
7,SERIE,Stories by Rabindranath Tagore,Stories by Rabindranadh Tagore,2015,9.1,DRAME,India,Non specifie,,1,21,TERMINEE,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
8,FILM,Salem: His Sister's Father,Salem: His Sister's Fazer,2014,4.8,DRAME,Egypt,Mohamed Hamdy,99,,,,"A street vendor's simple life is turned upside down after the Egyptian revolution of 2011, forcing him to contend with criminals and cops alike."
9,FILM,Dragonheart,Dragonheart,1996,4.7,SF,United States,Rob Cohen,103,,,,"In ancient times when majestic fire-breathers soared through the skies, a knight comes face to face and heart to heart with the last dragon on Earth."
10,FILM,Mahjong Heroes,Mahjong Heloes,1981,7.3,COMEDIE,Hong Kong,Li Pei-Chuan,92,,,,"In this comedy, characters from all walks of life go head-to-head around the mahjong table in a high-stakes contest of different playing styles."
11,SERIE,Sofia the First,Sofia the First,2017,8.2,ANIMATION,United States,Non specifie,,4,88,TERMINEE,"When her commoner mother marries the king, average-girl Sofia finds that being a real princess isn't all it's cracked up to be."
12,FILM,Muqaddar ka Faisla,Muqaddar ka Faisla,1987,7.3,COMEDIE,India,Prakash Mehra,172,,,,God-fearing Pandit Krishna Kant loses everything and turns to a life of crime after his landlord tries to rape his wife and tears his family apart.
13,SERIE,Lovesick,Lovesick,2018,4.9,ROMANCE,United Kingdom,Non specifie,,3,24,ANNULEE,"In his quest for true love, Dylan found chlamydia. Joined by friends Evie and Luke, he relives past encounters as he notifies all his former partners."
14,FILM,Le K Benzema,Le K Benzema,2017,4.9,DOCUMENTAIRE,France,Damien Piscarel,121,,,,"After a blackmailing scandal and being sidelined from the French national team, Real Madrid forward Karim Benzema tells his side of the story."
15,FILM,Get on Up,Get on Up,2014,4.8,DRAME,United Kingdom,Tate Taylor,139,,,,Music legend James Brown makes a turbulent journey from humble origins to superstardom as the Godfather of Soul in this biopic starring Chadwick Boseman.
16,FILM,It Takes a Man and a Woman,It Takes a Man and a Woman,2013,5.2,ROMANCE,Philippines,Cathy Garcia-Molina,127,,,,"Laida and Miggy used to be in love, but now they're forced to work together in a professional capacity – and neither is completely over their past."
17,FILM,The Stanford Prison Experiment,The Stanford Prison Experiment,2015,6.7,THRILLER,United States,Kyle Patrick Alvarez,122,,,,"Conducting a study on the psychology of incarceration, a Stanford professor assigns guard and prisoner roles to 24 male test subjects in a mock jail."
18,FILM,Bleed for This,Bleed for This,2016,3.9,DRAME,United States,Ben Younger,120,,,,"After a devastating injury derails his career, scrappy world champion boxer Vinny Pazienza determines to make an against-all-odds comeback."
19,SERIE,The Honeymoon Stand Up Special,The Honeymoon Stand Up Special,2018,4.6,COMEDIE,United States,Non specifie,,1,10,ANNULEE,"Impending parenthood does funny things to Natasha Leggero and Moshe Kasher, who dissect family, relationships and more in a trio of stand-up specials."
20,FILM,Alone in Berlin,Alone in Berlin,2016,4.5,DRAME,United Kingdom,Vincent Perez,103,,,,"After learning of their son's death on the battlefield, a grieving Berlin couple embark on a quietly dangerous act of resistance against Adolf Hitler."
21,FILM,Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back,2001,5.8,COMEDIE,United States,Kevin Smith,105,,,,"Jay and Silent Bob's comic book alter egos have been sold to Hollywood without permission, so they head to Tinseltown to sabotage the production."
22,FILM,Pyar Ke Do Pal,Pyar Ke Do Pal,1986,5.2,DRAME,India,Rajiv Mehra,153,,,,"Twins separated by a court order meet at camp and decide to reunite their parents, unaware of the dark secret that drove them apart years before."
23,FILM,Dad Wanted,Dad Wanted,2020,6.2,COMEDIE,Mexico,Javier Colinas,103,,,,What does a thrill-seeker tween girl do when her mom forbids her to enter a BMX race? Cast an actor with nothing to lose to play her approving dad.
24,FILM,The Reliant,The Reliant,2019,3.4,DRAME,United States,Paul Munger,116,,,,"When a town suffers an economic collapse, social unrest forces a family to seek refuge in the wilderness as bitter outlaws threaten their survival."
25,SERIE,B: The Beginning,B: Ze Beginning,2021,8.7,ANIMATION,Japan,Non specifie,,2,36,ANNULEE,"Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target."
26,FILM,Bilu Rakkhosh,Bilu Rakkhosh,2017,9.4,DRAME,India,Indrasis Acharya,127,,,,"Torn between his demanding corporate career, his passion for music and his turbulent family life, a man struggles to keep his inner demons in check."
27,FILM,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,1998,3.1,COMEDIE,India,Karan Johar,185,,,,"Per her mother’s last wish, a girl sets out to reunite her father with the college best friend who loved him – only to discover the woman is engaged."
28,SERIE,Street Food: Latin America,Street Food: Latin America,2020,9.0,DRAME,Inconnu,Non specifie,,1,24,TERMINEE,"In this vibrant docuseries, Latin American chefs tell their stories and bring a taste of tradition and innovation to their delicious offerings."
29,FILM,The Smurfs 2,The Smurfs 2,2013,6.2,COMEDIE,United States,Raja Gosnell,105,,,,"Evil magician Gargamel continues his quest to tap the power of the Smurfs, creating a pair of his own ""Smurf-alikes"" called the Naughties."
30,FILM,Little Monsters,Little Monsters,1989,9.4,COMEDIE,United States,Richard Greenberg,102,,,,"Brian knows there are creatures under his bed. When he faces his fears and confronts them, however, he makes some hilariously weird new friends."
31,SERIE,Dangerous Roads,Dangerous Roads,2012,5.0,DRAME,United Kingdom,Non specifie,,2,36,TERMINEE,"Using various 4x4 vehicles, celebrities steer their way across some of the most infamous roads and trickiest terrains on earth."
32,FILM,Friendsgiving,Friendsgiving,2020,6.7,COMEDIE,United States,Nicol Paone,95,,,,A quiet holiday dinner among friends turns into a chaotic night of illicit activity and compromising situations when uninvited guests crash the party.
33,FILM,Seven Souls in the Skull Castle: Season Flower,Seben Sours in ze Skurr Castre: Season Frowaa,2017,8.0,ACTION,Japan,Hidenori Inoue,181,,,,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Flower” version of the bold show performed in a 360º theater."
34,FILM,Event Horizon,Event Horizon,1997,8.4,HORREUR,United Kingdom,Paul W.S. Anderson,96,,,,"After a signal is received from a long-missing spaceship, a rescue ship investigates, but the crew soon realizes something unimaginable has happened."
35,FILM,The Lost Okoroshi,The Lost Okoroshi,2019,9.1,COMEDIE,Nigeria,Abba T. Makama,94,,,,"A disillusioned security guard transforms into a masquerade, channeling ancestral spirits as he roams the streets of Lagos."
36,FILM,Forbidden Games: The Justin Fashanu Story,Forbidden Games: The Justin Fashanu Story,2017,6.3,DOCUMENTAIRE,United Kingdom,Jon Carey,81,,,,"This documentary chronicles the tragic, true story of Justin Fashanu, the first – and only – openly gay man to have played professional soccer."
37,FILM,True: Grabbleapple Harvest,True: Grabbleapple Harvest,2019,4.9,DRAME,Canada,Non specifie,24,,,,It's Grabbleapple harvest season in the Rainbow Kingdom ... but Glummy Glooma doesn't want autumn to come. Can True and her friends save the festival?
38,FILM,InuYasha the Movie 2: The Castle Beyond the Looking Glass,InuYasha ze Mobie 2: Ze Castre Beyond ze Rooking Grass,2002,6.3,ANIMATION,Japan,Toshiya Shinohara,99,,,,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
39,FILM,Bewafaa,Bewafaa,2005,5.6,ROMANCE,India,Dharmesh Darshan,149,,,,"A young woman faces pressure to marry her brother-in-law, after her sister dies while giving birth. But she's secretly in love with someone else."
40,FILM,Kung Fu Yoga,Kung Fu Yoga,2017,7.5,COMEDIE,China,Stanley Tong,107,,,,Two mismatched archaeologists battle a team of vicious mercenaries in a race to discover an ancient Tibetan treasure of unimaginable worth.
41,SERIE,Ray,Ray,2021,8.4,DRAME,Inconnu,Srijit Mukherji,,1,11,TERMINEE,"From a satire to a psychological thriller, four short stories from celebrated auteur and writer Satyajit Ray are adapted for the screen in this series."
42,SERIE,Boca Juniors Confidential,Boca Juniors Confidential,2018,9.3,DRAME,Inconnu,Non specifie,,1,23,EN_COURS,"Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club."
43,SERIE,No Game No Life,No Game No Rife,2014,9.2,ANIMATION,Japan,Non specifie,,1,24,ANNULEE,Legendary gamer siblings Sora and Shiro are transported to a world where life is a series of games and humanity is in grave danger of extinction.
44,SERIE,Unabomber - In His Own Words,Unabomber - In His Own Words,2018,7.5,DRAME,Canada,Mick Grogan,,1,8,ANNULEE,"The CIA attempts to turn Ted Kaczynski, aka the Unabomber, into a super agent — a plan that backfires. Based on real events."
45,FILM,Alan Saldaña: Mi vida de pobre,Alan Saldaña: Mi vida de pobre,2017,5.9,DRAME,Mexico,Raúl Campos,54,,,,Mexican comic Alan Saldaña has fun with everything from the pressure of sitting in an exit row to maxing out his credit card in this stand-up special.
46,FILM,The Magic School Bus Rides Again Kids In Space,The Magic School Bus Rides Again Kids In Space,2020,8.9,DRAME,United States,Richard Weston,46,,,,The Magic School Bus kids blast into orbit — and onto the International Space Station — only to find themselves on the run from a giant tardigrade!
47,FILM,Arès,Arès,2016,4.2,SF,France,Jean-Patrick Benes,80,,,,A futuristic France tries to keep its people from despair and rebellion over crippling poverty by engaging them with a violent TV competition show.
48,FILM,Look for a Star,Look fol a Stal,2009,4.8,ROMANCE,Hong Kong,Andrew Lau Wai-Keung,117,,,,"While keeping his identity secret, a real estate billionaire tries to woo an outspoken croupier who talks gamblers out of losing their money."
49,SERIE,Sugar Rush Christmas,Sugar Rush Christmas,2020,5.2,DRAME,United States,Non specifie,,2,40,TERMINEE,"It's everything you love about ""Sugar Rush"" – with a holly jolly holiday twist – in this Christmas-themed spin on competitive baking."
50,FILM,Jim Jefferies: Intolerant,Jim Jefferies: Intolerant,2020,5.3,DRAME,Inconnu,Scott Zabielski,67,,,,"Between scenes from an excruciating date, Jim Jefferies digs into generational differences, his own bad habits and the shifting boundaries in comedy."
51,SERIE,Bondi Rescue,Bondi Rescue,2016,9.0,DRAME,Australia,Non specifie,,1,14,TERMINEE,"This reality series follows elite professional lifeguards on Sydney's Bondi Beach, as they take on everything from animal stings to criminals."
52,SERIE,Monty Python's Almost the Truth,Monty Python's Almost the Truth,2009,4.7,DRAME,United Kingdom,Non specifie,,1,8,TERMINEE,"The legacy of comedy group Monty Python, whose irreverent brand of humor has tickled the ribs of millions, is explored in this documentary."
53,SERIE,Glitter Force Doki Doki,Grittaa Force Doki Doki,2017,3.1,ANIMATION,Japan,Go Koga,,2,46,EN_COURS,Four girls summon their inner superheroes to defend Earth and the magical kingdom of Splendorius from King Mercenare and his minions.
54,FILM,Ali Wong: Hard Knock Wife,Ali Wong: Hard Knock Wife,2018,9.8,DRAME,United States,Jay Karas,64,,,,"Two years after the hit ""Baby Cobra,"" Ali Wong is back with another baby bump – and a torrent of hilarious truths about marriage and motherhood."
55,SERIE,The Good Place,The Good Place,2020,5.4,COMEDIE,United States,Non specifie,,4,32,ANNULEE,"Due to an error, self-absorbed Eleanor Shellstrop arrives at the Good Place after her death. Determined to stay, she tries to become a better person."
56,FILM,Lo and Behold: Reveries of the Connected World,Lo and Behold: Reveries of the Connected World,2016,3.3,DOCUMENTAIRE,United States,Werner Herzog,98,,,,"Filmmaker Werner Herzog presents a history of the internet, starting with its birth in 1969, and ponders the joys and sorrows of its social influence."
57,FILM,Hell Fest,Hell Fest,2018,3.2,HORREUR,United States,Gregory Plotkin,89,,,,"A serial killer picks off a group of friends, one by one, as they make their way through a hell-themed amusement park."
58,FILM,To All the Boys: Always and Forever - The Afterparty,To All the Boys: Always and Forever - The Afterparty,2021,4.7,DRAME,Inconnu,Non specifie,36,,,,"Cast members of the ""To All the Boys"" films dish about the third movie and answer some fan questions, plus Whitney Cummings gives suspect dating advice."
59,SERIE,Kingdom,Kingdom,2020,8.7,ACTION,South Korea,Kim Seong-hun,,2,20,EN_COURS,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
60,FILM,Motu Patlu the Superheroes – Super Villains from Mars,Motu Patlu the Superheroes – Super Villains from Mars,2019,3.9,DRAME,Inconnu,Suhas Kadav,79,,,,"Friends Motu and Patlu must save the world from three space thieves, but the job gets much harder when a cosmic collision gives the enemies superpowers!"
61,FILM,Pulp Fiction,Pulp Fiction,1994,7.6,DRAME,United States,Quentin Tarantino,154,,,,"This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer."
62,FILM,King of Peking,King of Peking,2018,6.8,COMEDIE,China,Sam Voutas,88,,,,"Strapped for cash, a traveling projectionist begins to run a DVD pirating business, putting him at odds with his young, skeptical son."
63,SERIE,Club de Cuervos Presents: The Ballad of Hugo Sánchez,Club de Cuervos Presents: The Ballad of Hugo Sánchez,2018,4.5,COMEDIE,United States,Non specifie,,1,14,TERMINEE,Chava Iglesias's doting personal assistant Hugo Sánchez is tasked with leading Club de Cuervos to victory in Nicaragua – if only his mom will let him.
64,FILM,Gook,Gook,2017,4.1,DRAME,United States,Justin Chon,95,,,,"Amidst the looting and chaos of the LA riots, two Korean-American brothers fight to save their struggling shoe store while contemplating their future."
65,SERIE,Hap and Leonard,Hap and Leonard,2018,7.1,DRAME,United States,Non specifie,,3,27,EN_COURS,"In late-1980s Texas, two best friends get involved in darkly comic misadventures by hiring themselves out to shady clients for illicit ends."
66,SERIE,1994,1994,2019,9.6,DRAME,Mexico,Diego Enrique Osorno,,1,9,ANNULEE,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio."
67,FILM,Naughty Jatts,Naughty Jatts,2013,3.2,COMEDIE,India,Pankaj Batra,121,,,,"When three different boys propose to a lively, strictly reared girl who yearns to be a performer, she agrees to marry the winner of a singing contest."
68,SERIE,Age of Rebellion,Age of Lebellion,2018,5.1,DRAME,Taiwan,Peter Ho,,1,18,TERMINEE,"At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds."
69,FILM,Small Chops,Small Chops,2020,9.4,ROMANCE,Nigeria,Robert Peters,98,,,,"When a business mogul hires an exotic dancer for a weekend of entertainment, it quickly morphs into a messy situation full of misunderstanding."
70,FILM,Chhota Bheem & Ganesh,Chhota Bheem & Ganesh,2009,4.3,DRAME,Inconnu,Rajiv Chilaka,68,,,,"Bheem and Lord Ganesha join forces to save Dholakpur from fire-spitting dragons, who have also captured Ganesh’s mouse companion!"
71,FILM,Win It All,Win It All,2017,7.0,ROMANCE,United States,Joe Swanberg,89,,,,"After losing $50,000 that wasn't his, gambling addict Eddie starts to rebuild his life. But an unwelcome surprise pushes him toward his old ways."
72,FILM,Rocky V,Rocky V,1990,8.6,DRAME,United States,John G. Avildsen,104,,,,"Inspired by the memory of his trainer, a broke and seemingly careerless Rocky finds glory in training and takes on an up-and-coming boxer."
73,FILM,Kuldip Patwal: I Didn't Do It!,Kuldip Patwal: I Didn't Do It!,2017,4.7,DRAME,India,Remy Kohli,126,,,,"Accused of killing a politician, a local grocer’s fight to prove his innocence reveals his lifelong struggles with injustice leading up to the incident."
74,FILM,Tusk,Tusk,2014,7.7,HORREUR,United States,Kevin Smith,102,,,,"When a wise-guy podcaster interviews a disabled seafarer, he decides to embark on a transformational quest to track down a dangerous walrus-monster."
75,FILM,Spirit Riding Free: Ride Along Adventure,Spirit Riding Free: Ride Along Adventure,2020,5.1,DRAME,United States,Beth Sleven,79,,,,Join Lucky and her friends on an interactive mission to save Maricela’s beloved mare from greedy horse thieves who've taken her captive with a wild herd.
76,FILM,The Super Parental Guardians,The Super Parental Guardians,2016,7.7,COMEDIE,Philippines,Joyce Bernal,115,,,,"Following his best friend's death, Arci takes charge of her two boisterous children with some help from their gang-affiliated uncle."
77,FILM,American Son,American Son,2019,8.5,DRAME,United States,Kenny Leon,90,,,,Time passes and tension mounts in a Florida police station as an estranged interracial couple awaits news of their missing teenage son.
78,FILM,D.L. Hughley: Clear,D.L. Hughley: Clear,2014,8.4,DRAME,United States,Jay Chapman,59,,,,"In this 2014 standup special filmed in San Francisco, comedic genius D.L. Hughley entertains with his hilarious take on current affairs and more."
79,FILM,The Basement,The Basement,2018,6.8,HORREUR,United States,Brian M. Conley,89,,,,"Known for tortuous role-play with victims in his basement, a twisted serial killer abducts a musician who has a deeper connection to his mind games."
80,SERIE,Buddy Thunderstruck,Buddy Thunderstruck,2017,3.3,ANIMATION,United States,Non specifie,,1,23,TERMINEE,"Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit."
81,FILM,He's Out There,He's Out There,2018,7.5,HORREUR,United States,Quinn Lasher,89,,,,"While vacationing at a remote lake house, a mother and her daughters become pawns in the twisted game of an ax-wielding psychopath."
82,FILM,Motichoor Chaknachoor,Motichoor Chaknachoor,2019,3.5,COMEDIE,India,Debamitra Biswal,132,,,,"Pushing 40 and unemployed, a Dubai returnee desperate for a wife catches the eye of a Bhopal belle, who sees him solely as her ticket out of India."
83,SERIE,Hitler's Circle of Evil,Hitler's Circle of Evil,2017,7.4,DRAME,United Kingdom,Non specifie,,1,6,TERMINEE,"Surviving power struggles, betrayals and plots, Hitler's inner circle of Nazi leaders seizes control of Germany and designs its disastrous future."
84,FILM,Lupin the 3rd: The Castle of Cagliostro: Special Edition,Rupin ze 3rd: Ze Castre of Cagriostro: Speciar Edishon,1979,8.6,ANIMATION,Japan,Hayao Miyazaki,100,,,,"Lupin, his sidekick, Jigen, and the samurai warrior Goemon set out to take over an evil counterfeit operation at Count Cagliostro's fortress."
85,SERIE,Miss Culinary,Miss Culinary,2019,3.7,ROMANCE,Inconnu,Non specifie,,1,17,ANNULEE,"After ditching her domestic life to become a chef, a clueless maid crosses paths with two charming suitors who help her reach her dreams."
86,FILM,Take Me,Take Me,2017,9.1,COMEDIE,United States,Pat Healy,84,,,,"With his simulated kidnapping business flagging, an entrepreneur jumps at a weekend abduction opportunity – only to find the job isn't what it seems."
87,FILM,The Secret Life of Pets 2,The Secret Life of Pets 2,2019,6.1,COMEDIE,United States,Chris Renaud,86,,,,"On a farm outside New York, Max aims to boost his confidence while in the city, Snowball attempts to rescue a tiger cub and Gidget pretends to be a cat."
88,FILM,The Invitation,The Invitation,2015,4.0,HORREUR,United States,Karyn Kusama,100,,,,"A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions."
89,FILM,Je Suis Karl,Je Suis Karl,2021,4.2,DRAME,Germany,Christian Schwochow,127,,,,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
90,FILM,"Martin Matte: La vie, la mort...eh la la..!","Martin Matte: La vie, la mort...eh la la..!",2019,6.5,DRAME,Canada,Jean-François Blais,62,,,,"Quebecois comedy star Martin Matte serves up embarrassing personal stories, a solution for social media trolls and more in this unpredictable special."
91,FILM,Letters to Juliet,Letters to Juliet,2010,7.4,ROMANCE,United States,Gary Winick,105,,,,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
92,FILM,The Vendor,The Vendor,2018,7.2,COMEDIE,Inconnu,Odunlade Adekola,103,,,,A newspaper seller bemoans his lack of success but is undermined by his own laziness when he gets a better job as a driver and finds his rich father.
